season_year,data_source,match_id,match_date,competition_stage,team_code,team_name,opponent_code,opponent_name,is_home,goals,opponent_goals,result,total_shots,shots_on_target,blocked_shots,xg_total,fouls_committed,fouls_won,yellow_cards,red_cards,corners,offsides,passes,passes_completed,pass_pct,clearances,interceptions,possession_pct,saves,effective_tackles,venue,venue_city,referee_name
2026,espn_boxscore,760468,2026-06-25,,GER,Germany,ECU,Ecuador,False,1,2,L,11,3,5,,10,,1,0,2,0,592,,90.0,15,4,61.1,1,13,MetLife Stadium,"East Rutherford, New Jersey",
2026,espn_boxscore,760469,2026-06-25,,PAR,Paraguay,AUS,Australia,True,0,0,D,7,2,1,,9,,1,0,1,0,426,,80.0,24,8,44.0,5,17,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760469,2026-06-25,,AUS,Australia,PAR,Paraguay,False,0,0,D,12,5,3,,6,,1,0,3,0,537,,80.0,10,7,56.0,2,12,Levi's Stadium,"Santa Clara, California",
2026,espn_boxscore,760470,2026-06-25,,TUR,Turkey,USA,United States,True,3,2,W,9,3,2,,13,,0,0,2,2,434,,80.0,24,9,47.4,5,20,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760470,2026-06-25,,USA,United States,TUR,Turkey,False,2,3,L,18,7,5,,13,,1,0,9,5,471,,80.0,27,9,52.6,1,9,SoFi Stadium,"Inglewood, California",
2026,espn_boxscore,760471,2026-06-25,,JPN,Japan,SWE,Sweden,True,1,1,D,8,3,2,,20,,1,0,2,3,445,,80.0,40,4,52.3,4,7,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760471,2026-06-25,,SWE,Sweden,JPN,Japan,False,1,1,D,11,5,3,,11,,2,0,8,2,395,,80.0,21,5,47.7,2,3,AT&T Stadium,"Arlington, Texas",
2026,espn_boxscore,760472,2026-06-25,,TUN,Tunisia,NED,Netherlands,True,1,3,L,10,4,1,,11,,0,0,4,2,258,,80.0,35,8,28.6,4,9,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760472,2026-06-25,,NED,Netherlands,TUN,Tunisia,False,3,1,W,20,7,5,,10,,0,0,6,1,647,,90.0,17,10,71.4,3,5,GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",
2026,espn_boxscore,760473,2026-06-25,,CUR,Curaçao,CIV,Ivory Coast,True,0,2,L,11,2,2,,11,,2,0,4,2,355,,80.0,17,15,36.7,1,11,Lincoln Financial Field,"Philadelphia, Pennsylvania",
2026,espn_boxscore,760473,2026-06-25,,CIV,Ivory Coast,CUR,Curaçao,False,2,0,W,7,3,1,,6,,1,0,6,1,624,,90.0,19,12,63.3,2,9,Lincoln Financial Field,"Philadelphia, Pennsylvania",
