event_id,date,team_a,team_b,stage,n_cards_team_a,n_cards_team_b,n_cards_total,both_teams_carded,card_events,first_card_min,first_card_team,first_card_type,first_card_display
760488,2026-06-30,Netherlands,Morocco,"2026 FIFA World Cup, Round of 32",0,1,1,False,47|Morocco|yellow-card|47',47,Morocco,yellow-card,47'
760489,2026-06-29,Germany,Paraguay,"2026 FIFA World Cup, Round of 32",0,1,1,False,65|Paraguay|yellow-card|65',65,Paraguay,yellow-card,65'
760490,2026-06-30,Ivory Coast,Norway,"2026 FIFA World Cup, Round of 32",0,1,1,False,45|Norway|yellow-card|45'+1',45,Norway,yellow-card,45'+1'
760491,2026-07-01,Mexico,Ecuador,"2026 FIFA World Cup, Round of 32",0,4,4,False,45|Ecuador|yellow-card|45'+1';90|Ecuador|yellow-card|90'+3';90|Ecuador|red-card|90'+5';90|Ecuador|yellow-card|90'+9',45,Ecuador,yellow-card,45'+1'
760493,2026-07-01,Belgium,Senegal,"2026 FIFA World Cup, Round of 32",1,1,2,True,64|Belgium|yellow-card|64';67|Senegal|yellow-card|67',64,Belgium,yellow-card,64'
760494,2026-07-02,United States,Bosnia-Herzegovina,"2026 FIFA World Cup, Round of 32",1,1,2,True,64|United States|red-card|64';80|Bosnia-Herzegovina|yellow-card|80',64,United States,red-card,64'
760495,2026-07-01,England,Congo DR,"2026 FIFA World Cup, Round of 32",1,1,2,True,19|England|yellow-card|19';28|Congo DR|yellow-card|28',19,England,yellow-card,19'
760496,2026-07-02,Portugal,Croatia,"2026 FIFA World Cup, Round of 32",1,2,3,True,17|Portugal|yellow-card|17';59|Croatia|yellow-card|59';90|Croatia|yellow-card|90'+8',17,Portugal,yellow-card,17'
760498,2026-07-03,Switzerland,Algeria,"2026 FIFA World Cup, Round of 32",0,2,2,False,36|Algeria|yellow-card|36';72|Algeria|yellow-card|72',36,Algeria,yellow-card,36'
760499,2026-07-03,Australia,Egypt,"2026 FIFA World Cup, Round of 32",0,0,0,False,,,,,
760500,2026-07-03,Argentina,Cape Verde,"2026 FIFA World Cup, Round of 32",0,1,1,False,68|Cape Verde|yellow-card|68',68,Cape Verde,yellow-card,68'
760501,2026-07-04,Colombia,Ghana,"2026 FIFA World Cup, Round of 32",2,3,5,True,12|Colombia|yellow-card|12';49|Ghana|yellow-card|49';66|Ghana|yellow-card|66';76|Ghana|yellow-card|76';78|Colombia|yellow-card|78',12,Colombia,yellow-card,12'
760502,2026-07-04,Canada,Morocco,"2026 FIFA World Cup, Round of 16",4,4,8,True,20|Morocco|yellow-card|20';40|Morocco|yellow-card|40';40|Canada|yellow-card|40';43|Canada|yellow-card|43';45|Morocco|yellow-card|45';45|Morocco|yellow-card|45'+6';49|Canada|yellow-card|49';67|Canada|yellow-card|67',20,Morocco,yellow-card,20'
760504,2026-07-05,Brazil,Norway,"2026 FIFA World Cup, Round of 16",1,0,1,False,90|Brazil|yellow-card|90'+6',90,Brazil,yellow-card,90'+6'
760505,2026-07-06,Mexico,England,"2026 FIFA World Cup, Round of 16",2,5,7,True,1|England|yellow-card|1';54|England|red-card|54';68|England|yellow-card|68';71|Mexico|yellow-card|71';72|England|yellow-card|72';90|Mexico|yellow-card|90'+8';90|England|yellow-card|90'+8',1,England,yellow-card,1'
760507,2026-07-07,United States,Belgium,"2026 FIFA World Cup, Round of 16",2,0,2,False,35|United States|yellow-card|35';69|United States|yellow-card|69',35,United States,yellow-card,35'
760508,2026-07-07,Switzerland,Colombia,"2026 FIFA World Cup, Round of 16",2,1,3,True,51|Switzerland|yellow-card|51';59|Switzerland|yellow-card|59';60|Colombia|yellow-card|60',51,Switzerland,yellow-card,51'
760509,2026-07-07,Argentina,Egypt,"2026 FIFA World Cup, Round of 16",0,4,4,False,90|Egypt|yellow-card|90'+3';90|Egypt|yellow-card|90'+4';90|Egypt|yellow-card|90'+8';90|Egypt|yellow-card|90'+12',90,Egypt,yellow-card,90'+3'
760512,2026-07-11,Norway,England,"2026 FIFA World Cup, Quarterfinals",0,0,0,False,,,,,
760513,2026-07-12,Argentina,Switzerland,"2026 FIFA World Cup, Quarterfinals",0,2,2,False,44|Switzerland|yellow-card|44';72|Switzerland|red-card|72',44,Switzerland,yellow-card,44'
